"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8630","0f616579-d2ed-4456-9105-b9501b1d9234:6c60dbd0-8e34-4ab1-93ae-e3830be5aa93:click on PIM","","2026-07-09","passed","2026-07-09","Automation Run 0f616579-d2ed-4456-9105-b9501b1d9234","run_0f616579-d2ed-4456-9105-b9501b1d9234.spec.ts","",""
"","6781","0f616579-d2ed-4456-9105-b9501b1d9234:93e804dd-9bb8-4798-97a0-0f2b0c9cc2c3:Verify the login working or not","","2026-07-09","passed","2026-07-09","Automation Run 0f616579-d2ed-4456-9105-b9501b1d9234","run_0f616579-d2ed-4456-9105-b9501b1d9234.spec.ts","",""
