"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30048","08d0a038-fe52-40ce-88ff-91e1eee2ebd0:6c60dbd0-8e34-4ab1-93ae-e3830be5aa93:click on PIM","","2026-07-06","broken","2026-07-06","Automation Run 08d0a038-fe52-40ce-88ff-91e1eee2ebd0","run_08d0a038-fe52-40ce-88ff-91e1eee2ebd0.spec.ts","",""
"","5314","08d0a038-fe52-40ce-88ff-91e1eee2ebd0:93e804dd-9bb8-4798-97a0-0f2b0c9cc2c3:Verify the login working or not","","2026-07-06","passed","2026-07-06","Automation Run 08d0a038-fe52-40ce-88ff-91e1eee2ebd0","run_08d0a038-fe52-40ce-88ff-91e1eee2ebd0.spec.ts","",""
