"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12703","3f63fd91-3991-4463-ba5f-773e64591c39:93e804dd-9bb8-4798-97a0-0f2b0c9cc2c3:Verify the login working or not","","2026-07-06","passed","2026-07-06","Automation Run 3f63fd91-3991-4463-ba5f-773e64591c39","run_3f63fd91-3991-4463-ba5f-773e64591c39.spec.ts","",""
"","30023","3f63fd91-3991-4463-ba5f-773e64591c39:6c60dbd0-8e34-4ab1-93ae-e3830be5aa93:click on PIM","","2026-07-06","broken","2026-07-06","Automation Run 3f63fd91-3991-4463-ba5f-773e64591c39","run_3f63fd91-3991-4463-ba5f-773e64591c39.spec.ts","",""
